the_geom,uid,facname,addressnum,streetname,address,city,zipcode,boro,borocode,bin,bbl,commboard,nta,council,schooldist,policeprct,censtract,factype,the_geom_webmercator,facgroup,facdomain,servarea,opname,opabbrev,optype,overagency,overabbrev,overlevel,capacity,captype,proptype,latitude,longitude,xcoord,ycoord,datasource,facsubgrp
0101000020E61000002B903071627F52C07521E326F4594440,f5f0e309b71f860928210db5b8c70215,"MARQUIS STUDIOS, LTD.",45,MAIN STREET,45 MAIN STREET,BROOKLYN,11201,Brooklyn,3,3329423,3000370001,302,BK38,33,084,13,002100,"MULTI-DISCIPL, PERF & NON-PERF",0101000020110F00003DAEA9F3866B5FC1C5EBEA6C25F45241,CULTURAL INSTITUTIONS,LIBRARIES AND CULTURAL PROGRAMS,Regional,"Marquis Studios, Ltd.",Non-public,Non-public,NYC Department of Cultural Affairs,NYCDCLA,City,,,,40.7027634247815,-73.9903834318399,986916.379447402,195312.283309737,dcla_culturalinstitutions,OTHER CULTURAL INSTITUTIONS
0101000020E610000032B876C88D8052C0366E3474455E4440,db8a81d534d3f5d162d843891e54994b,"MARTHA GRAHAM CENTER OF CONTEMPORARY DANCE, INC.",55,BETHUNE STREET,55 BETHUNE STREET,NEW YORK,10014,Manhattan,1,1012047,1006390001,102,MN23,03,006,02,007900,DANCE,0101000020110F000021D49769836D5FC1121E7001FCF85241,CULTURAL INSTITUTIONS,LIBRARIES AND CULTURAL PROGRAMS,Regional,"Martha Graham Center of Contemporary Dance, Inc.",Non-public,Non-public,NYC Department of Cultural Affairs,NYCDCLA,City,,,,40.7364945655831,-74.0086537513132,981851.794199261,207601.54498445,dcla_culturalinstitutions,OTHER CULTURAL INSTITUTIONS
0101000020E6100000BF955C6F6E7F52C0F05ACA59B3584440,18db9cc6a42972bf2e6fde6e5103dffd,"MARTIN LUTHER KING, JR. CONCERT SERIES, INC.",32,COURT STREET,32 COURT STREET,BROOKLYN,11201,Brooklyn,3,3002248,3002550044,302,BK09,33,084,13,000900,MUSIC,0101000020110F00007DA9A8529B6B5FC15CBD2F0FBEF25241,CULTURAL INSTITUTIONS,LIBRARIES AND CULTURAL PROGRAMS,Regional,"Martin Luther King, Jr. Concert Series, Inc.",Non-public,Non-public,NYC Department of Cultural Affairs,NYCDCLA,City,,,,40.6929733503401,-73.9911154178762,986713.783932953,191745.447595663,dcla_culturalinstitutions,OTHER CULTURAL INSTITUTIONS
0101000020E6100000837C98D4B47E52C06848F23A22624440,779f634bb4e1b9d019b1562b950ff919,"MARTINA ARROYO FOUNDATION, INC.",200,CENTRAL PARK SOUTH,200 CENTRAL PARK SOUTH,NEW YORK,10019,Manhattan,1,1024918,1010300029,105,MN17,04,018,02,013700,MUSIC,0101000020110F000016240C0E606A5FC12F5AA78A50FD5241,CULTURAL INSTITUTIONS,LIBRARIES AND CULTURAL PROGRAMS,Regional,"Martina Arroyo Foundation, Inc.",Non-public,Non-public,NYC Department of Cultural Affairs,NYCDCLA,City,,,,40.7666696246168,-73.9797870148778,989849.068340008,218595.82122421,dcla_culturalinstitutions,OTHER CULTURAL INSTITUTIONS
0101000020E6100000C3633F8BA58052C0FD12F1D6F95B4440,d864c3a2ab53e2360c5d93f4105a4eb8,MARY MISS / CITY AS LIVING LABORATORY,349,GREENWICH STREET,349 GREENWICH STREET,NEW YORK,10013,Manhattan,1,1002032,1001807511,101,MN24,01,001,02,003900,"MULTI-DISCIPLINE, NON-PERFORM",0101000020110F0000EA46D0C5AB6D5FC107BB4C7569F65241,CULTURAL INSTITUTIONS,LIBRARIES AND CULTURAL PROGRAMS,Regional,Mary Miss / City as Living Laboratory,Non-public,Non-public,NYC Department of Cultural Affairs,NYCDCLA,City,,,,40.718562,-74.010104,981449.1345722,201068.197264938,dcla_culturalinstitutions,OTHER CULTURAL INSTITUTIONS
0101000020E6100000B3BB124F287952C0B3F82D850D5D4440,4ee06bbcc358c1fdfdbd9f4ec8a8fb89,MASPETH,69-70,GRAND AVENUE,69-70 GRAND AVENUE,MASPETH,11378,Queens,4,4308052,4027960008,405,QN30,30,104,24,049302,PUBLIC LIBRARY,0101000020110F00002D11F227F3605FC179B528659EF75241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,Queens Public Library,,Public,Queens Public Library,QPL,City,,,,40.7269751047583,-73.8930852587644,1013883.40545219,204151.273371035,qpl_libraries,PUBLIC LIBRARIES
0101000020E610000059A666D8187952C01513729E7C5D4440,dd1633567bb4fc3a1187ab21150575e4,"MASPETH TOWN HALL, INC.",53-37,72 STREET,53-37 72ND STREET,MASPETH,11378,Queens,4,4058706,4025060015,405,QN30,30,104,24,049700,"MULTI-DISCIPLINE, NON-PERFORM",0101000020110F00009113BEE3D8605FC142FE38E81AF85241,CULTURAL INSTITUTIONS,LIBRARIES AND CULTURAL PROGRAMS,Regional,"Maspeth Town Hall, Inc.",Non-public,Non-public,NYC Department of Cultural Affairs,NYCDCLA,City,,,,40.7303655678753,-73.8921414377632,1014143.48186773,205386.844371707,dcla_culturalinstitutions,OTHER CULTURAL INSTITUTIONS
0101000020E610000077ECEBC42D7F52C046E1EED9A3604440,8632f5d865adcd32e72e9c072f17e77e,"MASTERVOICES, INC.",1441,BROADWAY,1441 BROADWAY,NEW YORK,10018,Manhattan,1,1022569,1009930055,105,MN17,03,014,02,011300,MUSIC,0101000020110F000014C9467B2D6B5FC10A4A24CAA3FB5241,CULTURAL INSTITUTIONS,LIBRARIES AND CULTURAL PROGRAMS,Regional,"MasterVoices, Inc.",Non-public,Non-public,NYC Department of Cultural Affairs,NYCDCLA,City,,,,40.7550003448874,-73.9871685317938,987804.984847281,214343.934386792,dcla_culturalinstitutions,OTHER CULTURAL INSTITUTIONS
0101000020E61000000C87FF0E777C52C00489B4FC9A674440,473724154852530b77be1258b1bb0d7f,"MAYSLES INSTITUTE, INC.",343,LENOX AVENUE,343 LENOX AVENUE,NEW YORK,10027,Manhattan,1,1086536,1019120130,110,MN03,09,032,05,022400,FILM/VIDEO/AUDIO,0101000020110F00000646147291665FC1DBA59FD173035341,CULTURAL INSTITUTIONS,LIBRARIES AND CULTURAL PROGRAMS,Regional,"Maysles Institute, Inc.",Non-public,Non-public,NYC Department of Cultural Affairs,NYCDCLA,City,,,,40.8094173318405,-73.9447667594324,999539.981770977,234174.45132016,dcla_culturalinstitutions,OTHER CULTURAL INSTITUTIONS
0101000020E61000001C67A4A5C28052C0DC02C11C8A504440,3d6a3ed13cfafbd2857d101983f3fdef,MCKINLEY PARK LIBRARY,6802,FORT HAMILTON PARKWAY,6802 FORT HAMILTON PARKWAY,BROOKLYN,11219,Brooklyn,3,3143032,3057710012,310,BK30,43,068,20,012801,PUBLIC LIBRARY,0101000020110F000006FA0E35DD6D5FC1199A55F49AE95241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,Brooklyn Public Library,BPL,Public,Brooklyn Public Library,BPL,City,,,,40.6292148535192,-74.0118803124901,980952.319509425,168516.539165119,bpl_libraries,PUBLIC LIBRARIES
